koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_impact,koi_model_snr,koi_steff,koi_slogg,ra,dec
2,0.0,0,1,0,0.203,1843.8,6257.0,4.41,290.63898,44.806789
1,1.0,0,0,0,0.751,49.9,5481.0,4.629,291.71732,44.88731
1,1.0,0,0,0,0.168,55.0,5196.0,4.593,291.84198,44.858089
1,1.0,0,0,0,0.206,60.7,5196.0,4.593,291.84198,44.858089
1,1.0,0,0,0,0.691,25.6,5196.0,4.593,291.84198,44.858089
1,1.0,0,0,0,0.933,48.1,5431.0,4.457,294.84689,45.034409
2,0.0,0,1,0,0.023,529.9,5855.0,3.999,297.47586,41.114288
1,1.0,0,0,0,0.001,79.7,5897.0,4.531,291.09235,45.115528
0,1.0,0,0,0,0.938,26.6,6225.0,4.45,291.20804,45.244389
2,0.0,0,1,0,0.886,1398.8,6108.0,4.471,289.72748,45.367661
1,1.0,0,0,0,0.032,128.3,6007.0,4.47,286.36011,45.414291
2,0.0,0,1,1,1.245,547.8,6192.0,4.503,294.71768,45.48576
1,1.0,0,0,0,0.433,30.6,5553.0,4.221,292.58044,46.097389
1,1.0,0,0,0,0.341,25.2,5553.0,4.221,292.58044,46.097389
1,1.0,0,0,0,0.271,22.7,5553.0,4.221,292.58044,46.097389
1,1.0,0,0,0,0.646,21.9,5553.0,4.221,292.58044,46.097389
1,1.0,0,0,0,0.041,293.7,5085.0,4.584,297.04562,46.027359
1,0.999,0,0,0,0.079,1838.4,5524.0,4.421,289.60797,44.345421
2,0.0,0,1,1,1.234,37.2,5450.0,4.552,297.78848,45.565418
1,1.0,0,0,0,0.033,81.1,5561.0,4.362,288.1647,45.816509
1,0.998,0,0,0,0.021,25.6,5561.0,4.362,288.1647,45.816509
1,1.0,0,0,0,0.508,26.7,5561.0,4.362,288.1647,45.816509
1,1.0,0,0,0,0.066,117.0,6035.0,4.22,294.02301,45.853081
1,1.0,0,0,0,0.142,78.7,6035.0,4.22,294.02301,45.853081
1,0.973,0,0,0,0.147,37.5,6035.0,4.22,294.02301,45.853081
0,0.975,0,0,0,0.331,18.2,6035.0,4.22,294.02301,45.853081
1,0.953,0,0,0,0.081,124.7,3582.0,4.807,283.73203,45.958771
1,0.704,0,0,0,0.009,87.8,3582.0,4.807,283.73203,45.958771
1,0.996,0,0,0,0.566,2040.7,5514.0,4.459,296.20059,49.140121
1,1.0,0,0,0,0.256,45.1,5537.0,4.549,293.01828,45.914688
1,1.0,0,0,0,0.035,51.0,5344.0,4.365,296.06424,45.976841
1,0.998,0,0,0,0.037,25.3,5344.0,4.365,296.06424,45.976841
1,0.949,0,0,0,0.503,16.7,5344.0,4.365,296.06424,45.976841
2,1.0,0,1,0,0.922,86.1,5047.0,3.066,296.81772,46.781509
1,1.0,0,0,0,0.965,32.2,5896.0,4.197,290.41327,38.34375
1,1.0,0,0,0,1.3,16.9,5896.0,4.197,290.41327,38.34375
1,0.999,0,0,0,0.949,15.1,5896.0,4.197,290.41327,38.34375
0,1.0,0,0,0,0.698,57.9,6520.0,4.375,293.22391,38.033581
1,1.0,0,0,0,0.068,97.1,5551.0,4.508,296.98102,43.209751
0,0.4808294015396076,0,0,0,0.1158,39.2,6449.0,4.232,287.58679,47.600021
0,1.0,0,0,0,0.154,93.4,5630.0,4.505,281.55118,47.469959
0,0.965,0,0,0,0.185,32.2,5757.0,4.597,296.23215,47.678959
2,0.4808294015396076,1,0,0,1.2962,28.9,6167.0,4.444,297.10349,47.64357
2,0.0,0,1,0,1.246,458.6,5075.0,3.892,290.91119,38.335579
2,0.0,0,1,0,1.02,534.5,6113.0,4.512,281.66916,42.038639
2,0.0,1,0,0,0.968,91.7,6980.0,3.577,295.26682,38.61124
2,0.0,0,1,0,0.994,322.3,6224.0,4.33,287.61633,39.127239
0,0.0,0,0,0,0.06,37.1,4813.0,2.472,289.09323,49.424484
0,1.0,0,0,0,1.263,179.6,8523.0,3.559,286.0192,48.866741
2,0.0,0,1,1,1.226,116.1,5582.0,4.497,295.09866,41.007038
2,0.0,0,0,1,1.258,140.6,5758.0,4.475,298.13589,41.332062
2,0.4808294015396076,0,0,0,0.7351054776654712,259.8950005434192,5706.8232800782525,4.310156613411586,293.28799,41.560455
2,0.0,0,0,1,1.228,24.3,5948.0,4.508,298.77325,41.214729
2,0.0,0,1,0,2.641,62.3,8090.0,4.002,292.61194,43.305141
1,1.0,0,0,0,0.652,235.7,5873.0,4.293,291.65317,44.688271
2,0.0,0,1,1,0.216,19.6,4768.0,4.628,291.17068,38.008591
2,0.0,0,0,1,0.708,22.2,5772.0,3.364,294.52557,38.204632
1,1.0,0,0,0,0.097,37.5,6049.0,4.353,292.7131,38.358212
1,0.989,0,0,0,0.533,10.9,6049.0,4.353,292.7131,38.358212
2,0.0,1,0,1,1.169,37.5,5901.0,4.553,289.7962,38.351181
1,1.0,0,0,0,0.806,41.0,4941.0,3.317,286.49042,38.374908
2,0.0,1,0,1,0.736,136.3,6215.0,3.849,292.77588,47.461689
